Airline,Source,Destination,Total_Stops,Additional_Info,Price,Journey_Day,Journey_Month,Is_Weekend,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min,Duration_Total_Mins
Air India,Kolkata,Banglore,2,No info,164.56,12,6,0,9,50,23,15,805
Air India,Delhi,Cochin,1,No info,82.28,21,5,0,20,40,9,25,765
Air Asia,Kolkata,Banglore,0,No info,45.18,21,5,0,19,55,22,25,150
Jet Airways,Kolkata,Banglore,1,No info,126.14,1,5,0,9,35,9,45,1450
IndiGo,Delhi,Cochin,1,No info,63.76,27,4,1,2,0,7,25,325
Jet Airways,Delhi,Cochin,1,In-flight meal not included,112.88,6,6,0,2,15,19,0,1005
Air India,Delhi,Cochin,3,No info,126.97,27,6,0,5,15,7,40,1585
IndiGo,Delhi,Cochin,1,No info,58.28,24,4,0,6,50,12,10,320
Air Asia,Delhi,Cochin,1,No info,70.96,27,4,1,20,45,7,10,625
Air India,Kolkata,Banglore,0,No info,68.69,9,6,1,14,15,16,45,150
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,22.78,27,3,0,19,35,21,5,90
IndiGo,Kolkata,Banglore,0,No info,52.84,15,5,0,9,35,12,20,165
Multiple carriers,Delhi,Cochin,1,No info,77.05,27,6,0,7,30,21,0,810
Jet Airways,Banglore,Delhi,1,No info,135.12,18,3,0,5,45,12,25,400
Air India,Kolkata,Banglore,1,No info,112.23,9,5,0,7,0,20,25,805
IndiGo,Delhi,Cochin,1,No info,76.32,27,5,0,14,20,22,30,490
Multiple carriers,Delhi,Cochin,1,No info,147.15,12,6,0,10,0,1,30,930
Multiple carriers,Delhi,Cochin,1,No info,107.57,1,6,1,9,15,19,15,600
Air India,Chennai,Kolkata,0,No info,51.34,15,5,0,11,40,13,55,135
Jet Airways,Banglore,Delhi,0,In-flight meal not included,49.98,3,4,0,19,50,22,50,180
Jet Airways,Delhi,Cochin,1,No info,176.87,27,6,0,21,50,4,25,395
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,77.7,1,4,0,16,30,19,50,1640
Jet Airways,Delhi,Cochin,1,No info,171.09,18,5,1,14,0,19,0,300
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,38.97,18,5,1,9,45,12,0,135
Air India,Banglore,Delhi,0,No info,67.33,18,4,0,13,20,16,10,170
IndiGo,Delhi,Cochin,1,No info,88.82,27,3,0,8,25,15,30,425
Multiple carriers,Delhi,Cochin,1,No info,147.15,3,6,0,11,30,1,30,840
Jet Airways,Kolkata,Banglore,1,No info,160.28,24,5,0,14,5,19,50,345
SpiceJet,Banglore,Delhi,0,No check-in baggage included,43.11,24,4,0,5,55,8,35,160
Jet Airways,Kolkata,Banglore,1,No info,156.54,24,3,1,18,55,4,45,590
IndiGo,Mumbai,Hyderabad,0,No info,30.29,15,3,0,19,5,20,30,85
Air India,Delhi,Cochin,1,No info,88.74,21,5,0,17,40,23,0,320
Vistara,Kolkata,Banglore,1,No info,92.97,6,5,0,7,10,22,40,930
Jet Airways,Banglore,Delhi,1,No info,165.27,6,3,0,14,5,11,25,1280
Jet Airways,Banglore,Delhi,1,No info,295.79,1,3,0,8,55,16,10,435
Jet Airways,Delhi,Cochin,1,In-flight meal not included,166.13,6,3,0,13,0,18,50,350
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,94.45,24,5,0,14,5,4,40,875
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,9,6,1,8,25,16,20,475
Jet Airways,Delhi,Cochin,1,In-flight meal not included,141.88,21,5,0,21,50,4,25,395
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,94.45,12,5,1,6,30,8,15,1545
Multiple carriers,Delhi,Cochin,1,No info,127.84,9,6,1,8,30,19,0,630
Air India,Delhi,Cochin,2,No info,148.92,6,5,0,12,20,19,15,1855
Jet Airways,Delhi,Cochin,2,No info,143.15,1,6,1,5,30,4,25,1375
Jet Airways,Kolkata,Banglore,1,No info,153.35,9,5,0,18,55,10,5,910
Jet Airways,Kolkata,Banglore,1,No info,155.66,18,5,1,9,35,10,55,1520
Multiple carriers,Delhi,Cochin,1,No info,148.96,21,3,0,17,30,1,35,485
IndiGo,Delhi,Cochin,1,No info,72.14,21,3,0,6,40,22,20,940
Air Asia,Kolkata,Banglore,1,No info,57.11,18,5,1,7,35,19,25,710
Vistara,Banglore,Delhi,0,No info,53.66,1,6,1,7,0,9,40,160
Jet Airways,Delhi,Cochin,1,In-flight meal not included,141.88,27,5,0,15,0,12,35,1295
Air India,Delhi,Cochin,1,No info,81.22,9,6,1,17,40,23,0,320
GoAir,Banglore,Delhi,0,No info,42.88,3,5,0,7,45,10,40,175
Air Asia,Banglore,Delhi,0,No info,37.21,6,5,0,23,55,2,45,170
IndiGo,Delhi,Cochin,1,No info,67.02,24,6,0,6,40,21,0,860
Multiple carriers,Delhi,Cochin,1,No info,134.11,12,6,0,8,0,19,0,660
Multiple carriers,Delhi,Cochin,1,No info,74.74,12,6,0,12,50,1,30,760
Jet Airways,Banglore,Delhi,1,No info,126.0,18,3,0,7,0,7,40,1480
IndiGo,Chennai,Kolkata,0,No info,38.94,1,6,1,15,40,18,25,165
Multiple carriers,Delhi,Cochin,1,No info,174.88,27,5,0,9,0,19,15,615
Multiple carriers,Delhi,Cochin,1,No info,106.9,3,6,0,10,0,21,0,660
GoAir,Kolkata,Banglore,1,No info,86.14,15,5,0,16,40,0,15,455
IndiGo,Delhi,Cochin,1,No info,70.58,3,6,0,8,30,21,0,750
Vistara,Chennai,Kolkata,0,No info,41.13,27,3,0,7,5,9,20,135
Vistara,Kolkata,Banglore,1,No info,88.93,6,5,0,7,10,23,25,975
IndiGo,Banglore,Delhi,0,No info,53.05,3,5,0,16,55,19,55,180
Jet Airways,Delhi,Cochin,2,No info,147.14,9,6,1,14,35,12,35,1320
Vistara,Kolkata,Banglore,1,No info,92.97,15,5,0,20,20,10,45,865
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,6,6,0,20,0,22,35,1595
Vistara,Delhi,Cochin,0,No info,53.36,27,3,0,6,0,9,10,190
Multiple carriers,Delhi,Cochin,1,No info,74.74,15,6,1,19,0,1,30,390
IndiGo,Banglore,Delhi,0,No info,53.05,18,5,1,8,30,11,20,170
Jet Airways,Delhi,Cochin,1,In-flight meal not included,116.35,9,6,1,20,55,4,25,450
Jet Airways,Delhi,Cochin,1,No info,132.35,27,3,0,20,50,19,45,1375
Air Asia,Delhi,Cochin,1,No info,102.63,1,6,1,7,55,13,25,330
Vistara,Kolkata,Banglore,1,No info,98.75,1,4,0,17,0,22,55,355
Multiple carriers,Delhi,Cochin,1,No info,77.05,1,6,1,12,50,21,0,490
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,18,5,1,14,5,20,45,400
Multiple carriers,Delhi,Cochin,1,No info,134.11,24,6,0,3,50,12,35,525
Air India,Banglore,Delhi,0,No info,48.85,24,3,1,10,0,12,45,165
Multiple carriers,Delhi,Cochin,1,No info,83.32,9,5,0,10,35,19,15,520
IndiGo,Kolkata,Banglore,0,No info,52.84,21,6,0,4,40,7,15,155
SpiceJet,Chennai,Kolkata,0,No info,39.57,6,6,0,9,45,12,0,135
Air India,Kolkata,Banglore,1,No info,114.54,6,6,0,17,30,20,25,1615
Jet Airways,Banglore,Delhi,0,No info,88.18,9,6,1,6,0,8,45,165
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,9,6,1,20,0,12,0,960
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,106.29,12,5,1,16,30,9,20,1010
IndiGo,Delhi,Cochin,1,No info,66.76,18,5,1,20,25,1,30,305
IndiGo,Delhi,Cochin,1,No info,70.86,27,5,0,11,55,22,30,635
Multiple carriers,Delhi,Cochin,1,No info,149.46,1,6,1,9,0,21,0,720
Air India,Mumbai,Hyderabad,0,No info,34.1,9,5,0,19,30,20,45,75
Jet Airways,Kolkata,Banglore,1,No info,162.59,21,5,0,6,30,18,15,705
Jet Airways,Delhi,Cochin,1,In-flight meal not included,141.88,21,5,0,21,50,19,0,1270
IndiGo,Kolkata,Banglore,0,No info,52.84,18,6,0,14,25,16,55,150
SpiceJet,Kolkata,Banglore,0,No info,45.91,15,4,0,9,0,11,25,145
IndiGo,Banglore,Delhi,0,No info,50.5,24,5,0,23,30,2,20,170
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,106.29,6,5,0,16,30,19,50,1640
Multiple carriers,Delhi,Cochin,1,No info,90.93,15,5,0,8,45,19,15,630
IndiGo,Banglore,Delhi,0,No info,53.05,6,5,0,7,10,10,5,175
Air India,Delhi,Cochin,0,No info,67.03,21,5,0,18,5,21,10,185
Jet Airways,Kolkata,Banglore,1,No info,155.96,24,5,0,21,10,4,40,450
Jet Airways,Delhi,Cochin,2,No info,147.14,9,6,1,6,45,12,35,1790
Air India,Mumbai,Hyderabad,0,No info,28.32,24,3,1,21,5,22,25,80
Vistara,Mumbai,Hyderabad,1,No info,136.34,6,3,0,7,30,19,55,745
IndiGo,Delhi,Cochin,1,No info,113.86,27,3,0,9,10,21,0,710
Air Asia,Kolkata,Banglore,1,No info,57.11,21,5,0,7,35,23,30,955
Multiple carriers,Delhi,Cochin,1,No info,84.37,15,5,0,12,50,21,0,490
Air India,Banglore,Delhi,2,No info,122.77,18,3,0,11,5,22,10,2105
Jet Airways,Kolkata,Banglore,1,No info,155.66,24,5,0,20,25,18,0,1295
IndiGo,Kolkata,Banglore,1,No info,52.52,6,5,0,15,15,20,5,290
Air India,Delhi,Cochin,2,No info,141.51,6,3,0,13,5,9,25,1220
Air India,Mumbai,Hyderabad,0,No info,60.08,6,3,0,19,30,20,45,75
SpiceJet,Delhi,Cochin,1,No info,92.2,9,3,1,6,10,11,20,310
Jet Airways,Banglore,Delhi,0,In-flight meal not included,49.98,24,4,0,17,45,20,45,180
Jet Airways,Banglore,Delhi,0,In-flight meal not included,49.98,1,4,0,15,15,18,10,175
Jet Airways,Kolkata,Banglore,1,No info,162.59,18,5,1,16,30,23,35,425
SpiceJet,Delhi,Cochin,1,No check-in baggage included,56.74,27,5,0,8,45,13,15,270
Jet Airways,Mumbai,Hyderabad,0,No info,62.46,21,3,0,15,50,17,20,90
Jet Airways,Delhi,Cochin,2,No info,206.84,9,6,1,11,40,19,0,440
IndiGo,Mumbai,Hyderabad,0,No info,44.54,3,6,0,9,10,10,40,90
IndiGo,Kolkata,Banglore,0,No info,72.21,24,3,1,10,10,12,55,165
Jet Airways,Delhi,Cochin,1,In-flight meal not included,136.1,18,5,1,18,15,12,35,1100
Air India,Banglore,Delhi,0,No info,48.85,18,3,0,17,0,19,45,165
SpiceJet,Chennai,Kolkata,0,No info,39.57,18,5,1,17,45,20,5,140
Jet Airways,Mumbai,Hyderabad,0,No info,62.46,18,6,0,19,35,21,5,90
Air India,Delhi,Cochin,2,No info,117.26,9,3,1,9,45,9,25,1420
Jet Airways,Banglore,Delhi,0,In-flight meal not included,49.98,21,4,1,6,0,8,45,165
IndiGo,Banglore,Delhi,0,No info,53.05,24,5,0,8,30,11,20,170
Air India,Kolkata,Banglore,2,No info,156.35,9,5,0,14,30,23,15,525
Jet Airways,Kolkata,Banglore,1,No info,162.59,1,5,0,8,25,16,20,475
Multiple carriers,Delhi,Cochin,1,No info,258.86,1,3,0,19,0,1,35,395
Jet Airways,Delhi,Cochin,1,In-flight meal not included,154.58,9,3,1,19,15,18,50,1415
Jet Airways,Delhi,Cochin,1,In-flight meal not included,112.88,27,6,0,21,50,19,0,1270
IndiGo,Banglore,Delhi,0,No info,53.05,21,6,0,20,0,22,50,170
Air India,Delhi,Cochin,1,No info,91.97,18,5,1,17,40,8,15,875
Air India,Delhi,Cochin,2,No info,115.42,9,6,1,5,55,19,15,2240
Multiple carriers,Delhi,Cochin,1,No info,187.63,3,3,1,7,5,13,20,375
IndiGo,Delhi,Cochin,1,No info,64.71,12,6,0,11,25,1,30,845
Jet Airways,Delhi,Cochin,1,In-flight meal not included,141.88,21,5,0,11,30,19,0,450
Jet Airways,Delhi,Cochin,1,No info,176.87,21,5,0,2,15,19,0,1005
Multiple carriers,Delhi,Cochin,1,No info,117.46,12,6,0,4,55,12,35,460
Air India,Banglore,Delhi,2,No info,230.99,1,3,0,6,45,11,10,1705
IndiGo,Banglore,Delhi,1,No info,72.32,21,3,0,19,35,0,35,300
Jet Airways,Delhi,Cochin,2,No info,166.42,21,5,0,19,30,4,25,535
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,6,6,0,18,55,18,15,1400
Air India,Banglore,Delhi,1,No info,128.19,3,3,1,9,30,23,45,855
IndiGo,Kolkata,Banglore,1,No info,55.76,1,4,0,8,10,13,0,290
Air India,Banglore,Delhi,0,No info,56.94,1,4,0,6,10,8,55,165
Jet Airways,Delhi,Cochin,2,No info,146.21,9,6,1,5,30,4,25,1375
IndiGo,Delhi,Cochin,1,No info,70.25,6,6,0,2,0,7,45,345
Jet Airways,Delhi,Cochin,2,No info,166.42,21,5,0,13,25,19,0,1775
Air India,Kolkata,Banglore,0,No info,48.78,6,3,0,20,45,23,20,155
IndiGo,Banglore,Delhi,0,No info,50.5,18,5,1,23,30,2,20,170
Jet Airways,Banglore,Delhi,1,In-flight meal not included,86.15,21,3,0,5,45,23,0,1035
IndiGo,Kolkata,Banglore,0,No info,45.91,12,4,0,4,40,7,15,155
Multiple carriers,Delhi,Cochin,1,No info,67.63,27,3,0,7,0,15,30,510
Multiple carriers,Delhi,Cochin,1,No info,100.64,27,5,0,9,15,19,15,600
Multiple carriers,Delhi,Cochin,2,No info,67.41,27,3,0,13,5,21,20,495
IndiGo,Delhi,Cochin,1,No info,70.53,27,3,0,16,10,22,20,370
Multiple carriers,Delhi,Cochin,1,No info,88.8,18,5,1,8,0,21,0,780
Jet Airways,Delhi,Cochin,0,In-flight meal not included,46.82,24,6,0,11,0,14,15,195
Air India,Kolkata,Banglore,2,No info,160.97,12,5,1,10,0,5,25,1165
Multiple carriers,Delhi,Cochin,1,No info,154.74,21,5,0,13,0,21,0,480
IndiGo,Kolkata,Banglore,0,No info,52.84,6,5,0,15,30,18,5,155
SpiceJet,Kolkata,Banglore,0,No info,54.02,21,4,1,17,10,19,40,150
IndiGo,Delhi,Cochin,1,No info,70.53,9,6,1,16,10,22,30,380
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,38.97,15,6,1,8,20,10,35,135
IndiGo,Chennai,Kolkata,0,No info,42.44,6,6,0,11,35,14,0,145
Air India,Kolkata,Banglore,2,No info,109.35,15,5,0,12,0,7,55,1195
Jet Airways,Banglore,Delhi,0,No info,79.52,9,4,0,8,20,11,20,180
GoAir,Banglore,Delhi,1,No info,91.87,3,3,1,15,45,20,15,270
Jet Airways,Kolkata,Banglore,1,No info,155.66,12,5,1,9,35,22,5,750
Multiple carriers,Delhi,Cochin,1,No info,74.74,6,6,0,17,45,1,30,465
IndiGo,Kolkata,Banglore,0,No info,52.84,3,5,0,20,20,22,55,155
Air India,Delhi,Cochin,1,No info,72.46,6,6,0,5,15,6,50,1535
GoAir,Delhi,Cochin,1,No info,45.17,3,4,0,7,25,13,35,370
Air India,Kolkata,Banglore,0,No info,60.61,18,4,0,14,15,16,45,150
Jet Airways,Delhi,Cochin,2,No info,166.42,9,5,0,9,40,19,0,560
Jet Airways,Delhi,Cochin,2,In-flight meal not included,143.32,9,5,0,9,40,4,25,1125
IndiGo,Delhi,Cochin,1,No info,72.4,15,6,1,7,15,12,30,315
Multiple carriers,Delhi,Cochin,1,In-flight meal not included,63.77,27,6,0,17,45,1,30,465
Jet Airways,Kolkata,Banglore,1,No info,139.61,12,6,0,20,25,10,55,870
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,36.65,27,3,0,8,20,10,35,135
Air India,Kolkata,Banglore,2,No info,111.66,9,6,1,12,0,7,55,1195
IndiGo,Delhi,Cochin,1,No info,55.51,6,4,1,2,0,7,25,325
Air India,Delhi,Cochin,1,No info,97.98,15,6,1,6,10,23,0,1010
Air India,Banglore,Delhi,0,No info,57.51,6,5,0,21,5,23,55,170
IndiGo,Delhi,Cochin,1,No info,151.28,3,3,1,5,35,10,10,275
Jet Airways,Banglore,Delhi,1,In-flight meal not included,121.96,9,3,1,8,55,21,20,745
Jet Airways,Kolkata,Banglore,1,No info,162.59,18,5,1,14,5,23,35,570
IndiGo,Kolkata,Banglore,0,No info,57.46,6,5,0,11,30,14,5,155
Jet Airways,Banglore,Delhi,0,In-flight meal not included,40.72,6,5,0,15,15,18,10,175
IndiGo,Mumbai,Hyderabad,0,No info,30.29,18,3,0,19,5,20,30,85
Air Asia,Banglore,Delhi,0,No info,37.21,24,5,0,11,10,13,55,165
Air India,Banglore,Delhi,0,No info,57.51,15,4,0,13,20,16,10,170
IndiGo,Delhi,Cochin,1,No info,55.59,27,5,0,20,25,1,30,305
Jet Airways,Banglore,Delhi,1,No info,149.1,18,3,0,8,55,19,10,615
Multiple carriers,Delhi,Cochin,1,No info,81.49,1,6,1,17,0,1,30,510
IndiGo,Kolkata,Banglore,0,No info,57.46,24,5,0,14,25,16,55,150
IndiGo,Banglore,Delhi,1,No info,106.63,1,3,0,12,10,17,5,295
IndiGo,Delhi,Cochin,1,No info,80.5,21,3,0,17,10,1,35,505
IndiGo,Delhi,Cochin,1,No info,55.59,21,5,0,7,35,12,10,275
Jet Airways,Banglore,Delhi,0,In-flight meal not included,44.33,1,5,0,18,55,22,0,185
Jet Airways,Banglore,Delhi,1,No info,184.1,6,3,0,8,0,18,25,625
Air India,Mumbai,Hyderabad,0,No info,22.55,18,3,0,19,30,20,45,75
Air India,Mumbai,Hyderabad,2,No info,109.75,12,3,0,1,35,14,50,795
IndiGo,Delhi,Cochin,1,No info,74.3,9,3,1,7,45,13,40,355
Jet Airways,Banglore,Delhi,0,In-flight meal not included,38.52,15,5,0,15,15,18,10,175
Air India,Banglore,Delhi,0,No info,76.57,24,6,0,10,0,12,45,165
Jet Airways,Banglore,Delhi,0,In-flight meal not included,49.98,9,4,0,15,50,18,45,175
SpiceJet,Kolkata,Banglore,0,No check-in baggage included,42.25,18,5,1,14,55,17,25,150
Jet Airways,Mumbai,Hyderabad,2,No info,265.26,6,3,0,14,20,16,50,1590
Vistara,Kolkata,Banglore,1,No info,104.52,24,5,0,7,10,9,5,1555
Air India,Mumbai,Hyderabad,0,No info,34.1,1,4,0,6,20,7,40,80
SpiceJet,Banglore,Delhi,0,No check-in baggage included,47.51,15,4,0,5,55,8,35,160
IndiGo,Mumbai,Hyderabad,0,No info,24.5,1,5,0,20,5,21,40,95
SpiceJet,Kolkata,Banglore,0,No info,64.14,24,3,1,22,20,0,40,140
IndiGo,Kolkata,Banglore,0,No info,52.84,9,6,1,21,25,0,5,160
IndiGo,Delhi,Cochin,1,No info,60.04,6,6,0,7,35,12,10,275
Jet Airways,Banglore,Delhi,0,In-flight meal not included,79.52,9,6,1,18,55,22,0,185
Jet Airways,Kolkata,Banglore,1,No info,160.28,6,6,0,18,55,10,5,910
SpiceJet,Banglore,Delhi,0,No check-in baggage included,43.11,9,6,1,21,10,0,5,175
Multiple carriers,Delhi,Cochin,1,No info,76.08,9,3,1,7,5,16,10,545
Jet Airways,Delhi,Cochin,1,In-flight meal not included,76.56,27,3,0,13,0,4,25,925
Jet Airways,Banglore,Delhi,1,No info,184.33,6,3,0,9,45,14,25,280
IndiGo,Delhi,Cochin,1,No info,163.58,6,3,0,16,0,1,35,575
IndiGo,Delhi,Cochin,1,No info,55.59,12,6,0,7,35,12,10,275
Air India,Delhi,Cochin,2,No info,137.37,3,6,0,12,20,19,15,1855
IndiGo,Banglore,Delhi,0,No info,53.05,15,4,0,18,25,21,20,175
Air India,Delhi,Cochin,2,No info,159.31,9,3,1,5,55,19,15,2240
Air India,Delhi,Cochin,2,No info,131.88,24,6,0,17,15,19,15,1560
Jet Airways,Delhi,Cochin,1,No info,176.87,21,5,0,22,50,19,0,1210
Jet Airways,Kolkata,Banglore,1,No info,143.74,6,5,0,9,35,10,55,1520
IndiGo,Delhi,Cochin,1,No info,75.0,12,6,0,5,5,16,10,665
Jet Airways,Kolkata,Banglore,1,No info,153.35,12,5,1,8,25,8,15,1430
Multiple carriers,Delhi,Cochin,1,No info,142.2,24,6,0,9,0,19,0,600
IndiGo,Kolkata,Banglore,0,No info,52.84,15,5,0,22,15,0,50,155
Jet Airways,Delhi,Cochin,1,In-flight meal not included,59.47,1,4,0,16,0,12,35,1235
IndiGo,Delhi,Cochin,1,No info,80.5,21,3,0,10,45,1,35,890
IndiGo,Chennai,Kolkata,0,No info,37.22,21,3,0,7,55,10,15,140
Air Asia,Delhi,Cochin,1,No info,125.51,3,6,0,20,45,6,35,590
Jet Airways,Banglore,Delhi,1,In-flight meal not included,100.47,15,3,0,5,45,13,15,450
Jet Airways,Banglore,Delhi,1,In-flight meal not included,86.15,21,3,0,14,5,21,20,435
Jet Airways,Banglore,Delhi,1,No info,162.96,6,3,0,8,55,7,40,1365
IndiGo,Banglore,Delhi,0,No info,50.5,3,6,0,23,30,2,20,170
Jet Airways,Delhi,Cochin,1,In-flight meal not included,136.1,9,5,0,22,50,19,0,1210
Air Asia,Banglore,Delhi,0,No info,47.12,9,3,1,5,50,8,40,170
Jet Airways,Kolkata,Banglore,1,No info,153.35,18,5,1,5,45,4,40,1375
Jet Airways,Delhi,Cochin,1,No info,179.18,9,3,1,17,25,18,50,1525
IndiGo,Delhi,Cochin,1,No info,100.82,24,6,0,23,30,4,35,305
Jet Airways,Banglore,Delhi,0,No info,88.18,21,6,0,6,0,8,45,165
Air Asia,Kolkata,Banglore,1,No info,57.11,1,4,0,22,40,10,40,720
Jet Airways,Kolkata,Banglore,1,No info,164.33,9,6,1,21,10,8,15,665
Jet Airways,Banglore,Delhi,1,No info,283.08,1,3,0,11,40,9,30,1310
Multiple carriers,Delhi,Cochin,1,No info,159.52,3,6,0,10,0,19,0,540
Jet Airways,Banglore,Delhi,1,No info,151.99,12,3,0,22,55,12,25,810
Jet Airways,Kolkata,Banglore,1,No info,155.66,24,5,0,9,35,18,0,505
Multiple carriers,Delhi,Cochin,1,No info,165.85,6,3,0,10,45,19,15,510
Multiple carriers,Delhi,Cochin,1,No info,134.11,12,6,0,9,0,19,0,600
SpiceJet,Mumbai,Hyderabad,0,No check-in baggage included,21.62,21,5,0,13,15,14,45,90
IndiGo,Chennai,Kolkata,0,No info,42.35,18,5,1,7,55,10,15,140
IndiGo,Mumbai,Hyderabad,0,No info,34.92,1,6,1,16,55,18,25,90
Jet Airways,Banglore,Delhi,0,No info,79.52,21,5,0,18,55,22,0,185
Jet Airways,Delhi,Cochin,1,No info,176.87,27,5,0,19,15,19,0,1425
IndiGo,Mumbai,Hyderabad,0,No info,48.31,27,3,0,9,10,10,40,90
Jet Airways,Banglore,Delhi,1,No info,603.09,18,3,0,18,40,0,45,365
Jet Airways,Delhi,Cochin,2,In-flight meal not included,114.05,15,6,1,9,40,19,0,560
Jet Airways,Delhi,Cochin,1,In-flight meal not included,141.88,27,5,0,22,50,19,0,1210
Air India,Kolkata,Banglore,2,No info,164.56,1,5,0,16,45,12,30,1185
IndiGo,Delhi,Cochin,1,No info,70.86,27,5,0,8,35,22,30,835
SpiceJet,Chennai,Kolkata,0,No info,39.57,21,5,0,8,20,10,35,135
Jet Airways,Delhi,Cochin,2,No info,206.84,6,6,0,11,40,19,0,440
Vistara,Delhi,Cochin,0,No info,67.22,15,3,0,6,0,9,10,190
IndiGo,Delhi,Cochin,0,No info,66.16,9,6,1,21,5,0,20,195
Air India,Banglore,Delhi,0,No info,67.33,18,5,1,13,20,16,10,170
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,69.16,24,5,0,10,20,17,35,435
Jet Airways,Banglore,Delhi,0,No info,79.52,9,5,0,15,15,18,10,175
IndiGo,Delhi,Cochin,1,No info,70.86,12,6,0,8,35,16,10,455
Jet Airways,Banglore,Delhi,0,In-flight meal not included,49.98,27,4,1,15,15,18,10,175
Air India,Kolkata,Banglore,2,No info,126.96,12,6,0,9,25,13,45,1700
Jet Airways,Delhi,Cochin,1,No info,176.87,21,5,0,19,45,4,25,520
Multiple carriers,Delhi,Cochin,1,No info,66.84,27,3,0,7,5,16,10,545
Air India,Kolkata,Banglore,2,No info,114.49,1,4,0,10,0,1,20,920
Air India,Delhi,Cochin,2,No info,92.91,27,3,0,5,55,19,15,2240
GoAir,Banglore,Delhi,0,No info,150.29,1,3,0,7,45,10,40,175
Air India,Delhi,Cochin,1,No info,117.38,15,5,0,20,30,8,15,705
Air Asia,Banglore,Delhi,0,No info,37.21,18,6,0,23,55,2,45,170
Multiple carriers,Delhi,Cochin,1,No info,99.23,9,5,0,10,20,1,30,910
Multiple carriers,Delhi,Cochin,1,No info,159.86,18,5,1,9,0,19,15,615
Jet Airways,Delhi,Cochin,2,In-flight meal not included,131.91,6,6,0,11,45,4,25,1000
IndiGo,Chennai,Kolkata,0,No info,39.57,12,5,1,13,15,15,35,140
IndiGo,Banglore,Delhi,0,No info,44.85,9,6,1,1,30,4,15,165
Multiple carriers,Delhi,Cochin,1,No info,106.11,12,6,0,7,5,16,10,545
SpiceJet,Kolkata,Banglore,0,No info,42.6,1,4,0,22,20,0,40,140
Jet Airways,Delhi,Cochin,2,No info,166.42,9,5,0,19,10,19,0,1430
IndiGo,Delhi,Cochin,1,No info,67.14,9,6,1,17,30,1,30,480
Jet Airways,Delhi,Cochin,2,In-flight meal not included,176.24,6,3,0,19,10,4,25,1995
Jet Airways,Banglore,Delhi,1,In-flight meal not included,116.18,9,3,1,9,45,0,30,885
Air India,Delhi,Cochin,1,No info,120.4,9,3,1,6,5,9,25,1640
SpiceJet,Kolkata,Banglore,0,No info,42.6,27,5,0,9,0,11,25,145
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,20.24,27,3,0,2,55,4,25,90
IndiGo,Delhi,Cochin,1,No info,105.43,3,3,1,4,55,12,0,425
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,35.31,18,5,1,19,35,21,5,90
IndiGo,Delhi,Cochin,1,No info,67.62,9,5,0,15,10,20,0,290
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,80.75,9,5,0,17,0,23,35,395
Air India,Delhi,Cochin,1,No info,92.09,21,5,0,9,0,19,15,615
Multiple carriers,Delhi,Cochin,1,No info,119.65,27,6,0,7,30,19,0,690
Air India,Delhi,Cochin,2,No info,114.85,9,5,0,22,0,19,15,1275
IndiGo,Delhi,Cochin,1,No info,149.72,6,3,0,4,45,21,0,975
Jet Airways,Banglore,Delhi,1,In-flight meal not included,121.96,9,3,1,8,55,10,45,1550
Jet Airways,Delhi,Cochin,1,In-flight meal not included,65.59,27,3,0,19,15,19,45,1470
IndiGo,Chennai,Kolkata,0,No info,39.57,24,5,0,13,15,15,35,140
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,93.82,12,6,0,18,55,10,5,910
Multiple carriers,Delhi,Cochin,1,No info,117.46,12,6,0,4,55,19,0,845
IndiGo,Delhi,Cochin,1,No info,91.14,27,3,0,8,25,21,0,755
Jet Airways,Delhi,Cochin,1,No info,202.08,12,6,0,2,15,12,35,620
Jet Airways,Kolkata,Banglore,1,No info,139.61,6,6,0,20,25,9,45,800
IndiGo,Banglore,Delhi,0,No info,48.65,24,4,0,6,5,8,50,165
Jet Airways,Banglore,Delhi,0,In-flight meal not included,79.52,9,6,1,19,50,22,50,180
IndiGo,Banglore,Delhi,0,No info,67.58,3,3,1,23,30,2,20,170
Jet Airways,Delhi,Cochin,2,In-flight meal not included,120.11,1,6,1,6,45,4,25,1300
IndiGo,Kolkata,Banglore,0,No info,45.63,27,3,0,21,25,0,5,160
SpiceJet,Banglore,Delhi,0,No check-in baggage included,42.6,24,3,1,20,30,23,20,170
